"date","location","dist","admin","pct"
2021-02-06,"MA",1247600,727120,58.3
2021-02-06,"NH",257700,161178,62.5
2021-02-06,"RI",192300,111830,58.2
2021-02-06,"VT",116075,82992,71.5
2021-02-07,"CT",740300,533941,72.1
2021-02-07,"ME",254550,178449,70.1
2021-02-07,"MA",1247600,780268,62.5
2021-02-07,"NH",257700,165887,64.4
2021-02-07,"RI",192300,117067,60.9
2021-02-07,"VT",116075,87180,75.1
2021-02-08,"CT",740300,542414,73.3
2021-02-08,"ME",254550,178449,70.1
2021-02-08,"MA",1247600,806376,64.6
2021-02-08,"NH",257700,166603,64.6
2021-02-08,"RI",192300,120484,62.7
2021-02-08,"VT",116075,90328,77.8
2021-02-09,"CT",800225,554322,69.3
2021-02-09,"ME",276600,187512,67.8
2021-02-09,"MA",1273975,832242,65.3
2021-02-09,"NH",267450,168727,63.1
2021-02-09,"RI",207950,122079,58.7
2021-02-09,"VT",129875,93037,71.6
2021-02-10,"CT",801325,574750,71.7
2021-02-10,"ME",285800,193246,67.6
2021-02-10,"MA",1393725,883945,63.4
2021-02-10,"NH",277225,176192,63.6
2021-02-10,"RI",208350,124962,60
2021-02-10,"VT",134075,93862,70
2021-02-11,"CT",812325,600249,73.9
2021-02-11,"ME",299375,193246,64.5
2021-02-11,"MA",1445425,924612,64
2021-02-11,"NH",298075,184103,61.8
2021-02-11,"RI",211650,127931,60.4
2021-02-11,"VT",137925,96908,70.3
2021-02-12,"CT",814525,626678,76.9
2021-02-12,"ME",299375,193246,64.5
2021-02-12,"MA",1499450,962711,64.2
2021-02-12,"NH",298175,191114,64.1
2021-02-12,"RI",211850,131913,62.3
2021-02-12,"VT",138025,100036,72.5
2021-02-13,"CT",847200,654766,77.3
2021-02-13,"ME",299375,193246,64.5
2021-02-13,"MA",1502725,1009560,67.2
2021-02-13,"NH",311875,200675,64.3
2021-02-13,"RI",228650,136904,59.9
2021-02-13,"VT",138025,102716,74.4
2021-02-14,"CT",854725,674704,78.9
2021-02-14,"ME",299375,193246,64.5
2021-02-14,"MA",1502925,1085584,72.2
2021-02-14,"NH",311875,208541,66.9
2021-02-14,"RI",228650,141155,61.7
2021-02-14,"VT",138025,106787,77.4
2021-02-15,"CT",NA,NA,NA
2021-02-15,"ME",NA,NA,NA
2021-02-15,"MA",NA,NA,NA
2021-02-15,"NH",NA,NA,NA
2021-02-15,"RI",NA,NA,NA
2021-02-15,"VT",NA,NA,NA
2021-02-16,"CT",914075,711142,77.8
2021-02-16,"ME",317850,238137,74.9
2021-02-16,"MA",1517375,1146860,75.6
2021-02-16,"NH",321625,216649,67.4
2021-02-16,"RI",234500,147019,62.7
2021-02-16,"VT",147425,114986,78
