"","date","State","dist","admin","pct"
"239",2021-02-12,"RI",211850,131913,62.27
"240",2021-02-12,"VT",138025,100036,72.48
"241",2021-02-13,"CT",847200,654766,77.29
"242",2021-02-13,"MA",1502725,1009560,67.18
"243",2021-02-13,"ME",299375,193246,64.55
"244",2021-02-13,"NH",311875,200675,64.34
"245",2021-02-13,"RI",228650,136904,59.87
"246",2021-02-13,"VT",138025,102716,74.42
"247",2021-02-14,"CT",854725,674704,78.94
"248",2021-02-14,"MA",1502925,1085584,72.23
"249",2021-02-14,"ME",299375,193246,64.55
"250",2021-02-14,"NH",311875,208541,66.87
"251",2021-02-14,"RI",228650,141155,61.73
"252",2021-02-14,"VT",138025,106787,77.37
"253",2021-02-15,"CT",NA,NA,NA
"254",2021-02-15,"MA",NA,NA,NA
"255",2021-02-15,"ME",NA,NA,NA
"256",2021-02-15,"NH",NA,NA,NA
"257",2021-02-15,"RI",NA,NA,NA
"258",2021-02-15,"VT",NA,NA,NA
"259",2021-02-16,"CT",914075,711142,77.8
"260",2021-02-16,"MA",1517375,1146860,75.58
"261",2021-02-16,"ME",317850,238137,74.92
"262",2021-02-16,"NH",321625,216649,67.36
"263",2021-02-16,"RI",234500,147019,62.69
"264",2021-02-16,"VT",147425,114986,78
"265",2021-02-17,"CT",916075,738191,80.58
"266",2021-02-17,"MA",1526150,1170398,76.69
"267",2021-02-17,"ME",321850,242445,75.33
"268",2021-02-17,"NH",321625,218316,67.88
"269",2021-02-17,"RI",234500,151436,64.58
"270",2021-02-17,"VT",150375,115964,77.12
"271",2021-02-18,"CT",922075,767183,83.2
"272",2021-02-18,"MA",1526150,1214821,79.6
"273",2021-02-18,"ME",321850,242445,75.33
"274",2021-02-18,"NH",321625,226863,70.54
"275",2021-02-18,"RI",234500,159931,68.2
"276",2021-02-18,"VT",151350,118184,78.09
"277",2021-02-19,"CT",958925,822615,85.79
"278",2021-02-19,"MA",1580500,1316402,83.29
"279",2021-02-19,"ME",335375,268162,79.96
"280",2021-02-19,"NH",328525,241386,73.48
"281",2021-02-19,"RI",246175,181725,73.82
"282",2021-02-19,"VT",159650,127619,79.94
"283",2021-02-20,"CT",984275,847820,86.14
"284",2021-02-20,"MA",1737170,1375439,79.18
"285",2021-02-20,"ME",335375,268322,80.01
"286",2021-02-20,"NH",328525,250296,76.19
"287",2021-02-20,"RI",246175,190896,77.54
"288",2021-02-20,"VT",159650,132112,82.75
"289",2021-02-21,"CT",984275,860534,87.43
"290",2021-02-21,"MA",1737170,1426512,82.12
"291",2021-02-21,"ME",335375,268693,80.12
"292",2021-02-21,"NH",328525,260809,79.39
"293",2021-02-21,"RI",246175,198626,80.68
"294",2021-02-21,"VT",163550,137144,83.85
"295",2021-02-22,"CT",984275,882777,89.69
"296",2021-02-22,"MA",1737170,1468992,84.56
"297",2021-02-22,"ME",335375,297116,88.59
"298",2021-02-22,"NH",328525,267893,81.54
"299",2021-02-22,"RI",246175,206034,83.69
"300",2021-02-22,"VT",163550,141436,86.48
"301",2021-02-23,"CT",1025755,892882,87.05
"302",2021-02-23,"MA",1747380,1500077,85.85
"303",2021-02-23,"ME",355310,299427,84.27
"304",2021-02-23,"NH",344165,274267,79.69
"305",2021-02-23,"RI",272255,211660,77.74
"306",2021-02-23,"VT",178620,144085,80.67
"307",2021-02-24,"CT",1099225,912033,82.97
"308",2021-02-24,"MA",1982950,1533534,77.34
"309",2021-02-24,"ME",387360,305362,78.83
"310",2021-02-24,"NH",383145,282235,73.66
"311",2021-02-24,"RI",292365,218499,74.74
"312",2021-02-24,"VT",194760,144970,74.44
"313",2021-02-25,"CT",1113035,925946,83.19
